Perusahaan,Posisi,Lokasi,Gaji,Sistem Kerja,Pendidikan Minimal,Pengalaman Kerja,Kriteria,Kriteria_Clean,Kriteria_CF,Kriteria_Token,Kriteria_Stemming,Kriteria_Stopword
PT. Blue Ocean Heart,Supervisor Social Media Specialist,Surabaya,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Supervisor / Coordinator', 'Marketing / Pemasaran', 'Content Marketing']",Sarjana  S  Tahun Supervisor  Coordinator Marketing  Pemasaran Content Marketing,sarjana  s  tahun supervisor  coordinator marketing  pemasaran content marketing,"['sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'marketing', 'pemasaran', 'content', 'marketing']","['sarjana', 's', 'tahun', 'supervisor', 'coordinator', 'marketing', 'pasar', 'content', 'marketing']",sarjana s supervisor coordinator marketing pasar content marketing
PT Top Ban Indonesia,Staff Accounting Perpajakan,Bogor,Rp 4 – 5 Juta,Kontrak,Sarjana / S1,3-5 Tahun,"['Master / S2', 'Staff / Officer', 'Akuntansi', 'Akuntansi Finansial']",Master  S Staff  Officer Akuntansi Akuntansi Finansial,master  s staff  officer akuntansi akuntansi finansial,"['master', 's', 'staff', 'officer', 'akuntansi', 'akuntansi', 'finansial']","['master', 's', 'staff', 'officer', 'akuntansi', 'akuntansi', 'finansial']",master s staff officer akuntansi akuntansi finansial
CV Sinar karunia Mandiri,Driver Mobil,Tangerang,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,3-5 Tahun,"['6-10 Tahun', 'Lebih dari 10 Tahun', 'Staff / Officer', 'Transportasi & Logistik', 'Driver']", Tahun Lebih dari  Tahun Staff  Officer Transportasi  Logistik Driver, tahun lebih dari  tahun staff  officer transportasi  logistik driver,"['tahun', 'lebih', 'dari', 'tahun', 'staff', 'officer', 'transportasi', 'logistik', 'driver']","['tahun', 'lebih', 'dari', 'tahun', 'staff', 'officer', 'transportasi', 'logistik', 'driver']",staff officer transportasi logistik driver
PT Personel Alih Daya Tbk,Customer Retention Canvassing.,Cikarang,Rp 5 – 6 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Perbankan / Jasa Finansial', 'Layanan Nasabah']",DiplomaDDD Sarjana  S Fresh Graduate Junior  Entry Level Perbankan  Jasa Finansial Layanan Nasabah,diplomaddd sarjana  s fresh graduate junior  entry level perbankan  jasa finansial layanan nasabah,"['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'perbankan', 'jasa', 'finansial', 'layanan', 'nasabah']","['diplomaddd', 'sarjana', 's', 'fresh', 'graduate', 'junior', 'entry', 'level', 'perban', 'jasa', 'finansial', 'layan', 'nasabah']",diplomaddd sarjana s fresh graduate junior entry level perban jasa finansial layan nasabah
PT. EKA JASA KARYA OUTSOURCING,Chef,Deli Serdang,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Manager / Assistant Manager', 'Restaurant', 'Koki / Chef']",Manager  Assistant Manager Restaurant Koki  Chef,manager  assistant manager restaurant koki  chef,"['manager', 'assistant', 'manager', 'restaurant', 'koki', 'chef']","['manager', 'assistant', 'manager', 'restaurant', 'koki', 'chef']",manager assistant manager restaurant koki chef
PT. EKA JASA KARYA OUTSOURCING,Helper Produksi bidang Plywood,Simalungun,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Keterampilan & Jasa', 'Pekerja Umum & Helper']",Junior  Entry Level Keterampilan  Jasa Pekerja Umum  Helper,junior  entry level keterampilan  jasa pekerja umum  helper,"['junior', 'entry', 'level', 'keterampilan', 'jasa', 'pekerja', 'umum', 'helper']","['junior', 'entry', 'level', 'terampil', 'jasa', 'kerja', 'umum', 'helper']",junior entry level terampil jasa kerja helper
PT. EKA JASA KARYA OUTSOURCING,Mandor/Pengawas Pabrik Plywood,Simalungun,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Supervisor / Coordinator', 'Pabrik dan Manufaktur', 'Pengawasan & Manajemen Pabrik']",DiplomaDDD Sarjana  S Supervisor  Coordinator Pabrik dan Manufaktur Pengawasan  Manajemen Pabrik,diplomaddd sarjana  s supervisor  coordinator pabrik dan manufaktur pengawasan  manajemen pabrik,"['diplomaddd', 'sarjana', 's', 'supervisor', 'coordinator', 'pabrik', 'dan', 'manufaktur', 'pengawasan', 'manajemen', 'pabrik']","['diplomaddd', 'sarjana', 's', 'supervisor', 'coordinator', 'pabrik', 'dan', 'manufaktur', 'awas', 'manajemen', 'pabrik']",diplomaddd sarjana s supervisor coordinator pabrik manufaktur awas manajemen pabrik
PT. EKA JASA KARYA OUTSOURCING,Opertor Forklift,Simalungun,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Pabrik dan Manufaktur', 'Operator Mesin']",Junior  Entry Level Pabrik dan Manufaktur Operator Mesin,junior  entry level pabrik dan manufaktur operator mesin,"['junior', 'entry', 'level', 'pabrik', 'dan', 'manufaktur', 'operator', 'mesin']","['junior', 'entry', 'level', 'pabrik', 'dan', 'manufaktur', 'operator', 'mesin']",junior entry level pabrik manufaktur operator mesin
PT. ENTHEOS MITRA GARMINDO,Product Develompent,Bandung Kota,Negosiasi,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Supervisor / Coordinator', 'Desain & Arsitektur', 'Desain Busana & Tekstil']",DiplomaDDD Sarjana  S Supervisor  Coordinator Desain  Arsitektur Desain Busana  Tekstil,diplomaddd sarjana  s supervisor  coordinator desain  arsitektur desain busana  tekstil,"['diplomaddd', 'sarjana', 's', 'supervisor', 'coordinator', 'desain', 'arsitektur', 'desain', 'busana', 'tekstil']","['diplomaddd', 'sarjana', 's', 'supervisor', 'coordinator', 'desain', 'arsitektur', 'desain', 'busana', 'tekstil']",diplomaddd sarjana s supervisor coordinator desain arsitektur desain busana tekstil
PT Alamraya Sebar Barokah,Video Editor & AI Multimedia Specialist,Remote,Rp 2 – 3 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Master / S2', 'Doctor / S3', 'Staff / Officer', 'Seni, Media, & Kreatif', 'Multimedia Editor']",Sarjana  S Master  S Doctor  S Staff  Officer Seni Media  Kreatif Multimedia Editor,sarjana  s master  s doctor  s staff  officer seni media  kreatif multimedia editor,"['sarjana', 's', 'master', 's', 'doctor', 's', 'staff', 'officer', 'seni', 'media', 'kreatif', 'multimedia', 'editor']","['sarjana', 's', 'master', 's', 'doctor', 's', 'staff', 'officer', 'seni', 'media', 'kreatif', 'multimedia', 'editor']",sarjana s master s doctor s staff officer seni media kreatif multimedia editor
