Perusahaan,Posisi,Lokasi,Gaji,Sistem Kerja,Pendidikan Minimal,Pengalaman Kerja,Kriteria
PT. Blue Ocean Heart,Supervisor Social Media Specialist,Surabaya,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Supervisor / Coordinator', 'Marketing / Pemasaran', 'Content Marketing']"
PT Top Ban Indonesia,Staff Accounting Perpajakan,Bogor,Rp 4 – 5 Juta,Kontrak,Sarjana / S1,3-5 Tahun,"['Master / S2', 'Staff / Officer', 'Akuntansi', 'Akuntansi Finansial']"
CV Sinar karunia Mandiri,Driver Mobil,Tangerang,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,3-5 Tahun,"['6-10 Tahun', 'Lebih dari 10 Tahun', 'Staff / Officer', 'Transportasi & Logistik', 'Driver']"
PT Personel Alih Daya Tbk,Customer Retention Canvassing.,Cikarang,Rp 5 – 6 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Perbankan / Jasa Finansial', 'Layanan Nasabah']"
PT. EKA JASA KARYA OUTSOURCING,Chef,Deli Serdang,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Manager / Assistant Manager', 'Restaurant', 'Koki / Chef']"
PT. EKA JASA KARYA OUTSOURCING,Helper Produksi bidang Plywood,Simalungun,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Keterampilan & Jasa', 'Pekerja Umum & Helper']"
PT. EKA JASA KARYA OUTSOURCING,Mandor/Pengawas Pabrik Plywood,Simalungun,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Supervisor / Coordinator', 'Pabrik dan Manufaktur', 'Pengawasan & Manajemen Pabrik']"
PT. EKA JASA KARYA OUTSOURCING,Opertor Forklift,Simalungun,Rp 3 – 4 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Pabrik dan Manufaktur', 'Operator Mesin']"
PT. ENTHEOS MITRA GARMINDO,Product Develompent,Bandung Kota,Negosiasi,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Supervisor / Coordinator', 'Desain & Arsitektur', 'Desain Busana & Tekstil']"
PT Alamraya Sebar Barokah,Video Editor & AI Multimedia Specialist,Remote,Rp 2 – 3 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Master / S2', 'Doctor / S3', 'Staff / Officer', 'Seni, Media, & Kreatif', 'Multimedia Editor']"
PT Sejahtera Abadi Bimantara,Admin Kantor,Jakarta Barat,Rp 4 – 5 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Administrasi', 'Staf Admin']"
PT Sejahtera Abadi Bimantara,Manager Cabang (Mandarin Speaker),Jakarta Barat,Rp 10 – 12 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Manager / Assistant Manager', 'Ritel', 'Manajemen Ritel']"
Graha Daffylagio,Staff Accounting Pajak,Jakarta Utara,Rp 2 – 3 Juta,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Junior / Entry Level', 'Akuntansi', 'Akuntansi Finansial']"
PT MACAN SEJAHTERA CAHAYA,Sales,Medan,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Junior / Entry Level', 'Sales / Penjualan', 'Konsultan Penjualan']"
Toko Mutiara Indah,Admin Host Live Streaming,Jakarta Barat,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Sales / Penjualan', 'E-Commerce & Marketplace']"
PT HONGMING TRADE INDONESIA,Translator Bahasa Mandarin-Indonesia,Cikarang,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Teknik', 'Penerbangan']"
Spilla Jewelry,Customer Service/ Jewelry Representative,Makassar,Rp 3 – 4 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['Fresh Graduate', 'Staff / Officer', 'Sales / Penjualan', 'Konsultan Penjualan']"
PT. Lampungutama Construksindo,Digital Marketing,Bandar Lampung,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'Marketing / Pemasaran', 'Content Marketing']"
TONG LI INDONESIA,Designer Grafis,Jakarta Utara,Rp 6 – 7 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Lebih dari 10 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Grafis']"
PT. Lampungutama Construksindo,Pengawas Lapangan,Bandar Lampung,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Konstruksi dan Bangunan', 'Site Supervisor / Pengawas Lapangan']"
PT HONGMING TRADE INDONESIA,Sales Marketing,Cikarang,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Sales / Penjualan', 'Akun dan Relasi']"
Rumah Sakit Hosana Medica Lippo Cikarang,Terapi Wicara,Cikarang,Negosiasi,Full Time,Diploma/D1/D2/D3,,"['Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Kesehatan & Medis', 'Fisioterapi dan Rehabilitasi']"
Pacific Beauty slimming & spa,Dokter Spesialis Gizi Klinik ( Sp. GK ),Malang,Negosiasi,Full Time,Sarjana / S1,,"['Fresh Graduate', 'Junior / Entry Level', 'Kesehatan & Medis', 'Dokter Spesialis']"
Braincode Sinergi Nusantara,Laravel & Phyton Developer,Bogor,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'IT / Information Technology', 'Programmer / Software Development']"
Trihita Alam Eco School,Shadow Teacher (Guru Pendamping ABK),Denpasar,Rp 3 – 4 Juta,Kontrak,Sarjana / S1,1-2 Tahun,"['Junior / Entry Level', 'Pendidikan Dan Pelatihan', 'Guru Pendidikan Khusus']"
CV Sinar karunia Mandiri,Koordinator Gudang,Tangerang,Rp 4 – 5 Juta,Kontrak,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', '3-5 Tahun', '6-10 Tahun', 'Lebih dari 10 Tahun', 'Supervisor / Coordinator', 'Transportasi & Logistik', 'Warehouse']"
FAS Cafe,Head Kitchen,Surabaya,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Supervisor / Coordinator', 'Restaurant', 'Koki / Chef']"
Cup-in Design,Design Grafis Textile,Remote,Rp 5 – 6 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Desain & Arsitektur', 'Desain Grafis']"
BPR Danamas Surabaya,Finance Supervisor,Surabaya,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Supervisor / Coordinator', 'Akuntansi', 'Manajemen Akuntansi']"
Malika Beauty Store,Pramuniaga,Surabaya,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Fresh Graduate', 'Staff / Officer', 'Ritel', 'Asisten Ritel']"
PT Personel Alih Daya Tbk,Telemarketing,Jakarta Barat,Rp 4 – 5 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Staff / Officer', 'Sales / Penjualan', 'Telemarketing / Telesales']"
PT. AGUNG PERKASA ABADI,Marketing Motoris,Tangerang,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Ritel', 'Asisten Ritel']"
CV. Danish Daya Insani,Content Creator,Remote,Negosiasi,Full Time,SMA / SMK / STM,1-2 Tahun,"['Junior / Entry Level', 'Marketing / Pemasaran', 'Content Marketing']"
PT. Ori Tata Desain,Admin Data Entry,Tangerang Selatan,Negosiasi,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Junior / Entry Level', 'Administrasi', 'Data Entry']"
PT Quadra Luminari,Customer Support Officer,Surabaya,Negosiasi,Full Time,Diploma/D1/D2/D3,1-2 Tahun,"['Sarjana / S1', 'Staff / Officer', 'IT / Information Technology', 'Penjualan & Konsultan IT']"
PT. Medika Permana Cipta,Staff Teknisi,Bekasi,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', 'Fresh Graduate', 'Junior / Entry Level', 'Kesehatan & Medis', 'Teknisi Alkes']"
Jaya Abadi Teknik,Admin Stok,Jakarta Barat,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Junior / Entry Level', 'Transportasi & Logistik', 'Warehouse']"
Khayangan Reflexology & Salon,Hairstylist / Kapster Salon,Malang,Rp 2 – 3 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Staff / Officer', 'Kecantikan & Perawatan', 'Tata Rambut & Salon']"
Djie Seng Bakery,Supervisor Produksi,Bandung Kota,Rp 3 – 4 Juta,Full Time,SMA / SMK / STM,3-5 Tahun,"['Diploma/D1/D2/D3', '6-10 Tahun', 'Supervisor / Coordinator', 'Restaurant', 'Baker & Pastry']"
PT NAGATA ESTETIKA NUSANTARA,Front Office / Resepsionist,Jakarta Barat,Rp 4 – 5 Juta,Full Time,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Sarjana / S1', '3-5 Tahun', 'Staff / Officer', 'Layanan Pelanggan', 'Resepsionis / Front Office']"
CV. MITRA DUNIA PALLETINDO Cabang Jakarta,Staff Sales,Jakarta Timur,Rp 3 – 4 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['3-5 Tahun', 'Junior / Entry Level', 'Sales / Penjualan', 'Akun dan Relasi']"
PT. TOMYPAK MAKMUR,Staff Quality Control,Tangerang,Rp 5 – 6 Juta,Full Time,Sarjana / S1,1-2 Tahun,"['Staff / Officer', 'Pabrik dan Manufaktur', 'Mutu Manufaktur (QC/QA)']"
PT Dokumen Kilat Indonesia,Kurir Dokumen,Tangerang Selatan,Rp 2 – 3 Juta,Kontrak,SMA / SMK / STM,1-2 Tahun,"['Diploma/D1/D2/D3', 'Staff / Officer', 'Transportasi & Logistik', 'Kurir']"
Rumah Sakit Hosana Medica Lippo Cikarang,Dokter Spesialis Fisik dan Rehabilitasi (Sp.KFR),Jawa Barat,Negosiasi,Full Time,Sarjana / S1,1-2 Tahun,"['Master / S2', 'Doctor / S3', 'Fresh Graduate', 'Staff / Officer', 'Kesehatan & Medis', 'Dokter Spesialis']"
